auktion_id,auktionstype,auktionsnavn,auktionsdato,saeson,dag_tema,event_id,event_navn,katalogomkostning,max_lots
O00035,online,Onlineauktion uge 13 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-03-30,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00036,online,Onlineauktion uge 13 2021 – Smykker/Fashion/Ure,2021-03-31,,Smykker/Fashion/Ure,,,,
O00037,online,Onlineauktion uge 14 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-04-05,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00038,online,Onlineauktion uge 14 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-04-06,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00039,online,Onlineauktion uge 14 2021 – Smykker/Fashion/Ure,2021-04-07,,Smykker/Fashion/Ure,,,,
O00040,online,Onlineauktion uge 15 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-04-12,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00041,online,Onlineauktion uge 15 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-04-13,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00042,online,Onlineauktion uge 15 2021 – Smykker/Fashion/Ure,2021-04-14,,Smykker/Fashion/Ure,,,,
O00043,online,Onlineauktion uge 16 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-04-19,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00044,online,Onlineauktion uge 16 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-04-20,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00045,online,Onlineauktion uge 16 2021 – Smykker/Fashion/Ure,2021-04-21,,Smykker/Fashion/Ure,,,,
O00046,online,Onlineauktion uge 17 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-04-26,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00047,online,Onlineauktion uge 17 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-04-27,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00048,online,Onlineauktion uge 17 2021 – Smykker/Fashion/Ure,2021-04-28,,Smykker/Fashion/Ure,,,,
O00049,online,Onlineauktion uge 18 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-05-03,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00050,online,Onlineauktion uge 18 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-05-04,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00051,online,Onlineauktion uge 18 2021 – Smykker/Fashion/Ure,2021-05-05,,Smykker/Fashion/Ure,,,,
O00052,online,Onlineauktion uge 19 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-05-10,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00053,online,Onlineauktion uge 19 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-05-11,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00054,online,Onlineauktion uge 19 2021 – Smykker/Fashion/Ure,2021-05-12,,Smykker/Fashion/Ure,,,,
O00055,online,Onlineauktion uge 20 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-05-17,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00056,online,Onlineauktion uge 20 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-05-18,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00057,online,Onlineauktion uge 20 2021 – Smykker/Fashion/Ure,2021-05-19,,Smykker/Fashion/Ure,,,,
O00058,online,Onlineauktion uge 21 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-05-24,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00059,online,Onlineauktion uge 21 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-05-25,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00060,online,Onlineauktion uge 21 2021 – Smykker/Fashion/Ure,2021-05-26,,Smykker/Fashion/Ure,,,,
L00146,live,Sommersauktion 2021 – Ældre Møbler/Ældre Kunst,2021-05-31,Sommer,Ældre Møbler/Ældre Kunst,E20212,Sommer 2021,129287,200
O00061,online,Onlineauktion uge 22 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-05-31,,Ældre Kunst/Ældre Møbler/Varia,,,,
L00147,live,Sommersauktion 2021 – Varia/Moderne Design,2021-06-01,Sommer,Varia/Moderne Design,E20212,Sommer 2021,107937,200
O00062,online,Onlineauktion uge 22 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-06-01,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
L00148,live,Sommersauktion 2021 – Moderne Møbler/Moderne Kunst,2021-06-02,Sommer,Moderne Møbler/Moderne Kunst,E20212,Sommer 2021,77098,200
O00063,online,Onlineauktion uge 22 2021 – Smykker/Fashion/Ure,2021-06-02,,Smykker/Fashion/Ure,,,,
L00149,live,Sommersauktion 2021 – Smykker/Fashion/Ure,2021-06-03,Sommer,Smykker/Fashion/Ure,E20212,Sommer 2021,201641,200
O00064,online,Onlineauktion uge 23 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-06-07,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00065,online,Onlineauktion uge 23 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-06-08,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00066,online,Onlineauktion uge 23 2021 – Smykker/Fashion/Ure,2021-06-09,,Smykker/Fashion/Ure,,,,
O00067,online,Onlineauktion uge 24 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-06-14,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00068,online,Onlineauktion uge 24 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-06-15,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00069,online,Onlineauktion uge 24 2021 – Smykker/Fashion/Ure,2021-06-16,,Smykker/Fashion/Ure,,,,
O00070,online,Onlineauktion uge 25 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-06-21,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00071,online,Onlineauktion uge 25 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-06-22,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00072,online,Onlineauktion uge 25 2021 – Smykker/Fashion/Ure,2021-06-23,,Smykker/Fashion/Ure,,,,
O00073,online,Onlineauktion uge 26 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-06-28,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00074,online,Onlineauktion uge 26 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-06-29,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00075,online,Onlineauktion uge 26 2021 – Smykker/Fashion/Ure,2021-06-30,,Smykker/Fashion/Ure,,,,
O00076,online,Onlineauktion uge 27 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-07-05,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00077,online,Onlineauktion uge 27 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-07-06,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00078,online,Onlineauktion uge 27 2021 – Smykker/Fashion/Ure,2021-07-07,,Smykker/Fashion/Ure,,,,
O00079,online,Onlineauktion uge 31 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-08-02,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00080,online,Onlineauktion uge 31 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-08-03,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00081,online,Onlineauktion uge 31 2021 – Smykker/Fashion/Ure,2021-08-04,,Smykker/Fashion/Ure,,,,
O00082,online,Onlineauktion uge 32 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-08-09,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00083,online,Onlineauktion uge 32 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-08-10,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00084,online,Onlineauktion uge 32 2021 – Smykker/Fashion/Ure,2021-08-11,,Smykker/Fashion/Ure,,,,
O00085,online,Onlineauktion uge 33 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-08-16,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00086,online,Onlineauktion uge 33 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-08-17,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00087,online,Onlineauktion uge 33 2021 – Smykker/Fashion/Ure,2021-08-18,,Smykker/Fashion/Ure,,,,
O00088,online,Onlineauktion uge 34 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-08-23,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00089,online,Onlineauktion uge 34 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-08-24,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00090,online,Onlineauktion uge 34 2021 – Smykker/Fashion/Ure,2021-08-25,,Smykker/Fashion/Ure,,,,
O00091,online,Onlineauktion uge 35 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-08-30,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00092,online,Onlineauktion uge 35 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-08-31,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00093,online,Onlineauktion uge 35 2021 – Smykker/Fashion/Ure,2021-09-01,,Smykker/Fashion/Ure,,,,
O00094,online,Onlineauktion uge 36 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-09-06,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00095,online,Onlineauktion uge 36 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-09-07,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00096,online,Onlineauktion uge 36 2021 – Smykker/Fashion/Ure,2021-09-08,,Smykker/Fashion/Ure,,,,
L00150,live,Efterårsauktion 2021 – Ældre Møbler/Ældre Kunst,2021-09-13,Efterår,Ældre Møbler/Ældre Kunst,E20213,Efterår 2021,114873,200
O00097,online,Onlineauktion uge 37 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-09-13,,Ældre Kunst/Ældre Møbler/Varia,,,,
L00151,live,Efterårsauktion 2021 – Varia/Moderne Design,2021-09-14,Efterår,Varia/Moderne Design,E20213,Efterår 2021,69807,200
O00098,online,Onlineauktion uge 37 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-09-14,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
L00152,live,Efterårsauktion 2021 – Moderne Møbler/Moderne Kunst,2021-09-15,Efterår,Moderne Møbler/Moderne Kunst,E20213,Efterår 2021,47716,200
O00099,online,Onlineauktion uge 37 2021 – Smykker/Fashion/Ure,2021-09-15,,Smykker/Fashion/Ure,,,,
L00153,live,Efterårsauktion 2021 – Smykker/Fashion/Ure,2021-09-16,Efterår,Smykker/Fashion/Ure,E20213,Efterår 2021,152869,200
O00100,online,Onlineauktion uge 38 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-09-20,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00101,online,Onlineauktion uge 38 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-09-21,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00102,online,Onlineauktion uge 38 2021 – Smykker/Fashion/Ure,2021-09-22,,Smykker/Fashion/Ure,,,,
O00103,online,Onlineauktion uge 39 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-09-27,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00104,online,Onlineauktion uge 39 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-09-28,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00105,online,Onlineauktion uge 39 2021 – Smykker/Fashion/Ure,2021-09-29,,Smykker/Fashion/Ure,,,,
O00106,online,Onlineauktion uge 40 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-10-04,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00107,online,Onlineauktion uge 40 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-10-05,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00108,online,Onlineauktion uge 40 2021 – Smykker/Fashion/Ure,2021-10-06,,Smykker/Fashion/Ure,,,,
O00109,online,Onlineauktion uge 41 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-10-11,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00110,online,Onlineauktion uge 41 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-10-12,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00111,online,Onlineauktion uge 41 2021 – Smykker/Fashion/Ure,2021-10-13,,Smykker/Fashion/Ure,,,,
O00112,online,Onlineauktion uge 42 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-10-18,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00113,online,Onlineauktion uge 42 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-10-19,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00114,online,Onlineauktion uge 42 2021 – Smykker/Fashion/Ure,2021-10-20,,Smykker/Fashion/Ure,,,,
O00115,online,Onlineauktion uge 43 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-10-25,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00116,online,Onlineauktion uge 43 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-10-26,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00117,online,Onlineauktion uge 43 2021 – Smykker/Fashion/Ure,2021-10-27,,Smykker/Fashion/Ure,,,,
O00118,online,Onlineauktion uge 44 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-11-01,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00119,online,Onlineauktion uge 44 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-11-02,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00120,online,Onlineauktion uge 44 2021 – Smykker/Fashion/Ure,2021-11-03,,Smykker/Fashion/Ure,,,,
O00121,online,Onlineauktion uge 45 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-11-08,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00122,online,Onlineauktion uge 45 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-11-09,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00123,online,Onlineauktion uge 45 2021 – Smykker/Fashion/Ure,2021-11-10,,Smykker/Fashion/Ure,,,,
O00124,online,Onlineauktion uge 46 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-11-15,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00125,online,Onlineauktion uge 46 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-11-16,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00126,online,Onlineauktion uge 46 2021 – Smykker/Fashion/Ure,2021-11-17,,Smykker/Fashion/Ure,,,,
L00154,live,Vintersauktion 2021 – Ældre Møbler/Ældre Kunst,2021-11-22,Vinter,Ældre Møbler/Ældre Kunst,E20214,Vinter 2021,132135,200
O00127,online,Onlineauktion uge 47 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-11-22,,Ældre Kunst/Ældre Møbler/Varia,,,,
L00155,live,Vintersauktion 2021 – Varia/Moderne Design,2021-11-23,Vinter,Varia/Moderne Design,E20214,Vinter 2021,104071,200
O00128,online,Onlineauktion uge 47 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-11-23,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
L00156,live,Vintersauktion 2021 – Moderne Møbler/Moderne Kunst,2021-11-24,Vinter,Moderne Møbler/Moderne Kunst,E20214,Vinter 2021,85361,200
O00129,online,Onlineauktion uge 47 2021 – Smykker/Fashion/Ure,2021-11-24,,Smykker/Fashion/Ure,,,,
L00157,live,Vintersauktion 2021 – Smykker/Fashion/Ure,2021-11-25,Vinter,Smykker/Fashion/Ure,E20214,Vinter 2021,185924,200
O00130,online,Onlineauktion uge 48 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-11-29,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00131,online,Onlineauktion uge 48 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-11-30,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00132,online,Onlineauktion uge 48 2021 – Smykker/Fashion/Ure,2021-12-01,,Smykker/Fashion/Ure,,,,
O00133,online,Onlineauktion uge 49 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-12-06,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00134,online,Onlineauktion uge 49 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-12-07,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00135,online,Onlineauktion uge 49 2021 – Smykker/Fashion/Ure,2021-12-08,,Smykker/Fashion/Ure,,,,
O00136,online,Onlineauktion uge 50 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-12-13,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00137,online,Onlineauktion uge 50 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-12-14,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00138,online,Onlineauktion uge 50 2021 – Smykker/Fashion/Ure,2021-12-15,,Smykker/Fashion/Ure,,,,
O00139,online,Onlineauktion uge 51 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-12-20,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00140,online,Onlineauktion uge 51 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-12-21,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00141,online,Onlineauktion uge 51 2021 – Smykker/Fashion/Ure,2021-12-22,,Smykker/Fashion/Ure,,,,
O00158,online,Onlineauktion uge 2 2022 – Ældre Kunst/Ældre Møbler/Varia,2022-01-10,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00159,online,Onlineauktion uge 2 2022 – Moderne Kunst/Moderne Møbler/Moderne Design,2022-01-11,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00160,online,Onlineauktion uge 2 2022 – Smykker/Fashion/Ure,2022-01-12,,Smykker/Fashion/Ure,,,,
O00161,online,Onlineauktion uge 3 2022 – Ældre Kunst/Ældre Møbler/Varia,2022-01-17,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00162,online,Onlineauktion uge 3 2022 – Moderne Kunst/Moderne Møbler/Moderne Design,2022-01-18,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00163,online,Onlineauktion uge 3 2022 – Smykker/Fashion/Ure,2022-01-19,,Smykker/Fashion/Ure,,,,
O00164,online,Onlineauktion uge 4 2022 – Ældre Kunst/Ældre Møbler/Varia,2022-01-24,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00165,online,Onlineauktion uge 4 2022 – Moderne Kunst/Moderne Møbler/Moderne Design,2022-01-25,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00166,online,Onlineauktion uge 4 2022 – Smykker/Fashion/Ure,2022-01-26,,Smykker/Fashion/Ure,,,,
O00167,online,Onlineauktion uge 5 2022 – Ældre Kunst/Ældre Møbler/Varia,2022-01-31,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00168,online,Onlineauktion uge 5 2022 – Moderne Kunst/Moderne Møbler/Moderne Design,2022-02-01,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00169,online,Onlineauktion uge 5 2022 – Smykker/Fashion/Ure,2022-02-02,,Smykker/Fashion/Ure,,,,
O00170,online,Onlineauktion uge 6 2022 – Ældre Kunst/Ældre Møbler/Varia,2022-02-07,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00171,online,Onlineauktion uge 6 2022 – Moderne Kunst/Moderne Møbler/Moderne Design,2022-02-08,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00172,online,Onlineauktion uge 6 2022 – Smykker/Fashion/Ure,2022-02-09,,Smykker/Fashion/Ure,,,,
O00173,online,Onlineauktion uge 7 2022 – Ældre Kunst/Ældre Møbler/Varia,2022-02-14,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00174,online,Onlineauktion uge 7 2022 – Moderne Kunst/Moderne Møbler/Moderne Design,2022-02-15,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00175,online,Onlineauktion uge 7 2022 – Smykker/Fashion/Ure,2022-02-16,,Smykker/Fashion/Ure,,,,
O00176,online,Onlineauktion uge 8 2022 – Ældre Kunst/Ældre Møbler/Varia,2022-02-21,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00177,online,Onlineauktion uge 8 2022 – Moderne Kunst/Moderne Møbler/Moderne Design,2022-02-22,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00178,online,Onlineauktion uge 8 2022 – Smykker/Fashion/Ure,2022-02-23,,Smykker/Fashion/Ure,,,,
O00179,online,Onlineauktion uge 9 2022 – Ældre Kunst/Ældre Møbler/Varia,2022-02-28,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00180,online,Onlineauktion uge 9 2022 – Moderne Kunst/Moderne Møbler/Moderne Design,2022-03-01,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00181,online,Onlineauktion uge 9 2022 – Smykker/Fashion/Ure,2022-03-02,,Smykker/Fashion/Ure,,,,
L00299,live,Forårsauktion 2022 – Ældre Møbler/Ældre Kunst,2022-03-07,Forår,Ældre Møbler/Ældre Kunst,E20221,Forår 2022,131797,200
O00182,online,Onlineauktion uge 10 2022 – Ældre Kunst/Ældre Møbler/Varia,2022-03-07,,Ældre Kunst/Ældre Møbler/Varia,,,,
L00300,live,Forårsauktion 2022 – Varia/Moderne Design,2022-03-08,Forår,Varia/Moderne Design,E20221,Forår 2022,98082,200
O00183,online,Onlineauktion uge 10 2022 – Moderne Kunst/Moderne Møbler/Moderne Design,2022-03-08,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
